Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
6678 Leicester Rd Loughborough Express,Convenience Central,MIDLANDS,"£14,063",435,£29.27,£2.72,10.8,308,1.4,24.1,99.10%,99.60%,7,8,3,2,3
6679 Cumberland Service Station Express,Convenience South,SOUTH CENTRAL,"£4,865",146,£30.26,£2.58,11.7,108,1.4,21.5,99.30%,99.70%,5,7,4,2,3
6682 Southampton Butts Rd Express,Convenience South,SOUTH CENTRAL,"£15,212",496,£27.61,£2.63,10.5,353,1.4,29,97.40%,97.90%,6,9,4,2,7
6685 Birmingham Alcester Express,Convenience Central,MIDLANDS,"£3,511",94,£34.35,£2.74,12.5,62,1.5,19.5,100.00%,98.80%,5,7,3,2,2
6686 Surbiton Hook Rd Express,Convenience London,SOUTH EAST,"£3,934",116,£30.89,£2.59,11.9,88,1.3,23.8,99.10%,99.40%,6,11,3,1,3
6687 Upper Shoreham Express,Convenience South,SOUTH EAST,"£11,924",366,£29.63,£2.72,10.9,266,1.4,27.7,97.50%,99.30%,7,13,4,1,3
6688 Sheffield Church St Express,Convenience North,NORTH EAST,"£2,263",76,£26.84,£2.70,9.9,53,1.4,33.9,94.50%,95.60%,12,14,4,2,2
6690 Worcester Park Express,Convenience London,SOUTH EAST,"£5,441",173,£28.41,£2.83,10,126,1.4,23.6,98.90%,98.60%,5,11,3,1,3
6693 Wallasey King St Express,Convenience North,NORTH WEST,"£2,887",93,£27.83,£2.49,11.2,63,1.5,23.6,96.80%,98.60%,3,13,4,1,3
6694 Edmonton Express,Convenience London,SOUTH EAST,"£10,050",320,£28.28,£2.59,10.9,227,1.4,32.9,95.00%,99.10%,10,13,3,1,5
6696 Barry Rd Express,Convenience South,WALES,"£8,465",239,£32.38,£2.59,12.5,159,1.5,23.5,99.60%,99.30%,6,9,4,2,3
6697 Hounslow Hanworth Express,Convenience London,SOUTH EAST,"£3,708",120,£27.78,£2.94,9.5,86,1.4,20.5,99.20%,99.10%,5,11,3,1,2
6698 Sutton Lower Rd Express,Convenience London,SOUTH EAST,"£4,209",142,£26.59,£2.59,10.3,94,1.5,22.8,97.90%,99.30%,5,10,3,1,4
