Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
3256 Sidcup Longlands Express,Convenience London,SOUTH EAST,"£6,224",221,£24.98,£2.65,9.4,151,1.5,24.7,97.30%,99.00%,7,12,3,2,2
3257 Eastbourne Seaside Express,Convenience South,SOUTH EAST,"£12,628",404,£28.19,£2.60,10.9,276,1.5,32.9,93.30%,99.30%,7,18,3,2,3
3259 Salford Quays Express,Convenience North,NORTH WEST,"£8,524",255,£30.35,£2.74,11.1,196,1.3,40,84.70%,99.50%,11,22,3,2,2
3260 Ashton Upon Mersey Express,Convenience North,MIDLANDS,"£2,925",98,£26.83,£2.85,9.4,58,1.7,24,99.00%,94.60%,5,11,4,2,3
3261 Sutton-in-ashfield Express,Convenience North,MIDLANDS,"£2,699",84,£28.86,£2.30,12.5,62,1.4,34.4,95.20%,99.00%,7,21,3,2,2
3262 Lodge Park Express,Convenience Central,MIDLANDS,"£12,541",385,£29.51,£2.93,10.1,276,1.4,23.4,100.00%,98.50%,7,8,3,2,3
3263 Foley Park Express,Convenience Central,MIDLANDS,"£5,378",164,£29.57,£2.87,10.3,109,1.5,23.9,98.80%,99.80%,6,12,2,2,1
3265 Spennells Express,Convenience Central,MIDLANDS,"£1,575",52,£27.23,£2.93,9.3,34,1.5,24.6,100.00%,100.00%,5,13,3,2,3
3268 Rowner Express,Convenience South,SOUTH CENTRAL,"£10,545",328,£29.03,£2.86,10.1,224,1.5,28.8,94.80%,99.70%,5,17,3,2,2
3269 Birmingham Mailbox Express,Convenience Central,MIDLANDS,£485,14,£31.94,£2.62,12.2,13,1.1,29,100.00%,100.00%,5,12,5,5,2
3271 Northwich Regency Express,Convenience Central,MIDLANDS,"£3,906",109,£32.59,£2.82,11.6,80,1.4,34.8,88.20%,97.50%,5,20,4,2,4
3272 Fulwood Express,Convenience North,NORTH WEST,"£1,623",45,£32.99,£3.56,9.3,28,1.6,29.7,97.80%,98.80%,7,12,4,3,4
3275 St Albans Jersey Farm Express,Convenience Central,SOUTH EAST,"£2,654",78,£30.92,£2.86,10.8,48,1.6,21.8,100.00%,98.80%,5,9,4,2,2
3276 Paddington Express,Convenience London,GREATER LONDON,"£1,573",52,£27.19,£2.26,12,38,1.4,31,98.20%,100.00%,6,16,4,2,3
3277 Leith Walk Express,Convenience North,EAST SCOTLAND,"£5,509",161,£31.22,£2.69,11.6,122,1.3,33.9,93.80%,98.30%,7,16,5,3,3
3287 Torquay Fleet Street Express,Convenience South,SOUTH WEST,"£2,618",66,£36.52,£2.74,13.3,46,1.4,48.8,75.80%,99.80%,7,33,4,2,3
3292 Thornton Heath Rd Express,Convenience London,SOUTH EAST,"£5,730",172,£30.22,£2.75,11,127,1.4,22.5,100.00%,98.60%,6,9,4,1,3
3295 Tolworth Esso Express,Convenience London,SOUTH EAST,"£4,205",126,£30.24,£2.49,12.1,91,1.4,23,97.60%,98.90%,5,11,3,1,2
3296 Teignmouth Rd Esso Express,Convenience South,SOUTH WEST,"£1,104",35,£28.33,£2.16,13.1,28,1.3,63.5,60.00%,98.90%,5,50,5,2,2
3302 Totterdown Express,Convenience South,SOUTH CENTRAL,"£2,578",71,£33.35,£2.41,13.8,56,1.3,27.7,97.20%,98.50%,7,13,4,1,2
3303 Throston Grange Express,Convenience North,NORTH EAST,"£4,236",133,£28.78,£2.58,11.2,97,1.4,44.7,79.70%,97.60%,7,29,4,2,3
3304 Grosvenor Road Express,Convenience South,SOUTH EAST,"£7,351",185,£36.77,£2.54,14.5,152,1.2,34.5,89.80%,99.10%,7,15,6,3,3
3308 Spalding Matmore Gate Express,Convenience Central,MIDLANDS,"£2,566",80,£28.82,£2.81,10.3,57,1.4,30,92.50%,99.40%,6,16,4,2,2
3311 Popley Express,Convenience South,SOUTH CENTRAL,"£6,949",214,£29.36,£2.71,10.8,148,1.4,38.8,86.90%,99.50%,6,23,4,2,4
3312 Northolt Express,Convenience London,SOUTH EAST,"£4,918",149,£30.05,£2.86,10.5,98,1.5,29.2,93.90%,98.90%,8,14,3,1,2
3314 West Hallam Express,Convenience Central,MIDLANDS,"£2,464",76,£29.30,£3.13,9.4,54,1.4,34,94.70%,99.50%,8,21,2,2,1
3315 Stukeley Meadows Express,Convenience Central,EAST ANGLIA,"£9,101",300,£27.24,£2.64,10.3,223,1.3,34.2,91.60%,98.10%,8,17,4,2,4
3317 Brixton Tulse Hill Esso Express,Convenience London,GREATER LONDON,"£3,439",107,£29.10,£2.85,10.2,77,1.4,28.2,96.30%,98.80%,5,16,3,1,2
3318 Ledbury Rd Esso Express,Convenience Central,MIDLANDS,"£1,775",53,£30.41,£2.30,13.2,44,1.2,45.5,77.80%,97.60%,5,34,3,2,2
3319 Leeds Rd Express,Convenience North,NORTH EAST,"£4,287",136,£28.48,£2.85,10,100,1.4,29.5,97.80%,98.20%,8,15,3,2,2
3320 Theydon Bois Express,Convenience London,SOUTH EAST,"£6,853",198,£31.45,£2.69,11.7,155,1.3,31.8,94.40%,99.10%,7,17,4,3,2
3326 Peacehaven Express,Convenience South,SOUTH EAST,"£5,471",179,£27.55,£2.53,10.9,123,1.5,41,80.10%,97.90%,6,26,5,2,3
3328 Uttoxeter New Rd Express,Convenience Central,MIDLANDS,"£3,826",120,£28.76,£2.74,10.5,86,1.4,29.8,95.00%,99.50%,5,18,3,2,2
3329 Cranham Express,Convenience London,SOUTH EAST,"£4,773",151,£28.45,£2.79,10.2,111,1.4,21.6,99.30%,98.60%,5,10,3,2,2
3331 Stanford-le-hope Express,Convenience Central,SOUTH EAST,"£9,190",271,£30.83,£2.38,13,197,1.4,24.8,98.20%,99.80%,7,11,3,2,2
3332 Upton Park Green Street Express,Convenience London,GREATER LONDON,"£2,429",85,£25.63,£2.50,10.2,66,1.3,21.6,100.00%,98.20%,5,9,5,1,2
3335 Uxbridge High Street Express,Convenience London,SOUTH EAST,"£9,621",278,£31.59,£2.58,12.3,196,1.4,28.5,97.50%,98.90%,8,12,4,1,3
3336 St Davids Rd North Express,Convenience North,NORTH WEST,"£1,147",30,£35.12,£3.72,9.4,20,1.5,39.2,80.00%,97.50%,4,28,3,2,2
3338 Valley Park Soton Express,Convenience South,SOUTH CENTRAL,"£1,548",47,£29.76,£2.73,10.9,35,1.3,37.7,87.20%,97.70%,7,21,5,2,2
3339 Witney Valence Crescent Express,Convenience Central,SOUTH CENTRAL,"£1,229",42,£26.14,£2.48,10.5,29,1.4,42.5,81.00%,99.50%,5,29,4,2,3
3343 Warners End Express,Convenience Central,SOUTH EAST,"£7,997",237,£30.73,£2.46,12.5,172,1.4,21.4,99.20%,99.50%,5,8,3,2,3
3349 Romford Marlborough Express,Convenience London,SOUTH EAST,"£10,047",323,£28.04,£2.69,10.4,210,1.5,26.7,97.50%,98.30%,7,13,4,1,2
3351 Walsall Brownhills Superstore,Large Central,MIDLANDS,"£5,388",137,£36.33,£2.38,15.3,105,1.3,34.7,95.60%,97.60%,10,10,9,3,4
3352 Norwich Wroxham Rd Express,Convenience Central,EAST ANGLIA,"£7,168",254,£25.01,£2.49,10,169,1.5,26.6,96.90%,99.20%,6,13,3,2,2
3355 Eastbourne Grove Express,Convenience South,SOUTH EAST,"£4,897",153,£29.00,£2.93,9.9,106,1.4,37.7,90.90%,99.80%,5,25,3,3,2
3359 Walthamstow Hoe St Esso Express,Convenience London,GREATER LONDON,"£1,204",39,£27.76,£2.44,11.4,39,1,21.2,100.00%,99.50%,4,11,3,1,2
3361 Bullsmoor Ln Esso Express,Convenience London,SOUTH EAST,"£12,341",420,£26.31,£2.61,10.1,311,1.4,25.1,99.50%,98.80%,8,10,3,2,2
3366 Hamlet Court Express,Convenience Central,SOUTH EAST,"£3,528",115,£27.78,£2.25,12.4,89,1.3,26,99.10%,94.60%,5,10,5,2,4
3374 Wednesfield Esso Express,Convenience Central,MIDLANDS,"£2,451",79,£28.03,£2.63,10.6,51,1.5,21.6,98.70%,97.80%,5,10,3,1,2
3376 West Moors Express,Convenience South,SOUTH CENTRAL,"£2,069",58,£32.58,£2.55,12.8,45,1.3,40.7,80.70%,98.70%,5,26,4,2,3
3381 Old Woking Rd Esso Express,Convenience South,SOUTH EAST,"£6,041",185,£29.45,£2.85,10.4,132,1.4,27.7,97.80%,99.90%,7,15,2,2,2
3382 Radlett Watling Express,Convenience London,SOUTH EAST,"£4,738",131,£33.08,£2.63,12.6,98,1.3,28.8,95.40%,97.00%,5,13,5,2,4
3386 Shirley W Wickham Esso Express,Convenience London,SOUTH EAST,"£5,696",179,£28.70,£2.51,11.4,130,1.4,26.1,95.50%,98.80%,7,13,4,1,2
3393 Winchmore Hill Esso Express,Convenience London,GREATER LONDON,"£3,015",101,£26.78,£3.19,8.4,64,1.6,29.3,93.00%,99.80%,6,17,2,1,2
3394 Whitehaven Superstore,Large North,NORTH WEST,"£2,130",62,£31.89,£2.45,13,55,1.1,77.3,22.40%,95.50%,10,38,17,3,10
3395 Whitton Express,Convenience London,SOUTH EAST,"£6,538",187,£31.92,£3.02,10.6,128,1.5,23.1,98.40%,98.90%,6,11,3,1,3
3396 Atherton Superstore,Large North,NORTH WEST,"£7,436",182,£37.80,£2.52,15,148,1.2,39.7,94.00%,97.10%,9,12,9,2,7
3397 Whitchurch Express,Convenience South,WALES,"£4,321",132,£29.72,£2.72,10.9,97,1.4,29.5,94.00%,97.40%,8,14,4,1,2
3405 Water Orton Express,Convenience Central,MIDLANDS,"£1,079",28,£35.45,£2.51,14.1,24,1.2,21.2,100.00%,99.10%,6,7,4,2,1
3407 Doncaster Wheatley Hill Express,Convenience North,NORTH EAST,"£3,475",105,£30.18,£2.57,11.7,73,1.4,28.2,96.20%,97.40%,7,14,4,2,2
3418 Witney Station Ln Esso Express,Convenience Central,SOUTH CENTRAL,£537,21,£22.42,£2.43,9.2,15,1.4,38.7,85.70%,98.70%,4,28,3,2,2
3423 Weymouth Dorchester Rd Express,Convenience South,SOUTH CENTRAL,"£2,880",84,£31.24,£2.77,11.3,56,1.5,39.2,88.10%,99.40%,6,26,3,2,2
3431 Larkhill Esso Express,Convenience Central,MIDLANDS,"£5,836",169,£31.54,£2.63,12,130,1.3,30.8,94.10%,98.10%,8,15,3,2,3
3432 Glenmoor Rd Bournemouth Express,Convenience South,SOUTH CENTRAL,"£2,210",66,£30.46,£2.64,11.5,50,1.3,43.3,76.90%,99.40%,5,31,3,2,2
3442 Terriers North Esso Express,Convenience South,SOUTH EAST,"£4,648",140,£30.03,£2.83,10.6,99,1.4,21.7,99.30%,98.40%,5,9,3,2,2
3443 High Wycombe South Esso Express,Convenience South,SOUTH EAST,"£1,396",41,£30.87,£2.67,11.6,33,1.2,21.3,100.00%,98.50%,5,8,3,2,3
3445 Wood Green Express,Convenience London,GREATER LONDON,"£3,369",116,£26.02,£2.35,11.1,86,1.3,27.9,97.40%,98.30%,6,11,4,1,6
3446 Croydon Whitehorse Rd Express,Convenience London,SOUTH EAST,"£4,203",124,£30.82,£2.83,10.9,81,1.5,25.3,96.90%,98.50%,5,13,4,1,2
3447 Woodingdean Esso Express,Convenience South,SOUTH EAST,"£2,789",86,£29.52,£2.90,10.2,57,1.5,36.8,86.40%,99.00%,8,21,4,1,3
3450 Woodley Express,Convenience South,SOUTH EAST,"£4,378",131,£30.21,£2.75,11,96,1.4,27.5,98.50%,99.20%,6,14,4,2,2
3455 Harestock Express,Convenience South,SOUTH CENTRAL,"£3,351",102,£29.69,£2.80,10.6,69,1.5,40.5,79.00%,99.30%,6,27,3,2,4
3460 Totton Express,Convenience South,SOUTH CENTRAL,"£2,194",72,£27.43,£2.57,10.7,53,1.4,34.7,91.70%,98.90%,6,22,3,2,3
3463 Warndon Express,Convenience Central,MIDLANDS,"£7,694",222,£31.51,£2.64,11.9,162,1.4,27.4,97.30%,99.10%,6,13,3,2,3
3464 Liverpool Wavertree Express,Convenience North,NORTH WEST,"£4,564",133,£31.30,£2.45,12.8,106,1.3,29.6,94.70%,98.50%,9,13,4,1,2
3465 Southampton Wessex Rd Express,Convenience South,SOUTH CENTRAL,"£2,084",63,£30.00,£2.72,11,40,1.6,29.8,96.90%,96.90%,4,19,3,3,2
3467 Chelsea Royal Hospital Rd Express,Convenience London,GREATER LONDON,"£1,363",38,£32.85,£4.23,7.8,26,1.5,20.9,94.60%,98.40%,5,11,2,2,1
3468 Eaglescliffe Superstore,Large North,NORTH EAST,"£2,033",50,£37.54,£2.63,14.3,40,1.3,34.4,95.90%,95.40%,9,14,7,2,2
3469 Yateley Esso Express,Convenience South,SOUTH CENTRAL,"£3,698",99,£34.37,£2.68,12.8,72,1.4,41.9,79.80%,98.20%,6,28,4,2,1
3471 Yate Station Rd Express,Convenience South,SOUTH CENTRAL,"£3,632",129,£24.95,£2.33,10.7,108,1.2,29.4,96.10%,99.20%,6,16,3,2,2
3472 Acomb Wood Express,Convenience North,NORTH EAST,"£5,209",158,£29.86,£2.67,11.2,118,1.3,35.4,88.50%,98.60%,7,20,3,2,3
3477 Dartmouth Park Express,Convenience London,GREATER LONDON,"£1,993",57,£31.92,£3.38,9.4,38,1.5,30.1,94.70%,100.00%,5,20,3,1,2
3479 St John's Wood Express,Convenience London,GREATER LONDON,"£2,278",68,£30.42,£2.77,11,42,1.6,21,98.50%,99.80%,5,11,3,2,1
3481 Weybridge Queens Rd Express,Convenience London,SOUTH EAST,"£5,079",145,£32.03,£2.76,11.6,109,1.3,28.6,95.10%,98.20%,6,13,4,1,3
3484 Putney Express,Convenience London,GREATER LONDON,"£1,404",47,£26.61,£3.07,8.7,32,1.5,18.4,100.00%,99.40%,4,9,3,1,2
3485 Shaw Ramleaze Dr Express,Convenience South,SOUTH CENTRAL,"£2,455",81,£27.34,£2.79,9.8,51,1.6,31.3,91.40%,97.90%,5,19,3,2,2
3575 Notte St Express,Convenience South,SOUTH WEST,"£1,907",64,£26.90,£2.66,10.1,47,1.4,38.3,85.20%,99.70%,7,26,3,1,2
4335 Bedfont Staines Express,Convenience London,SOUTH EAST,"£9,993",345,£25.89,£2.61,9.9,237,1.5,26.3,96.60%,98.10%,5,14,4,1,3
4337 Braintree Coggeshall Express,Convenience Central,SOUTH EAST,"£20,134",636,£28.62,£2.52,11.4,473,1.3,45.2,77.90%,99.20%,8,28,4,2,4
4343 Waterlooville Express,Convenience South,SOUTH CENTRAL,"£7,770",242,£28.98,£2.65,10.9,165,1.5,27.8,99.60%,99.90%,7,13,3,2,2
4347 Hetton Le Hole Express,Convenience North,NORTH EAST,"£5,850",177,£30.04,£2.86,10.5,126,1.4,50.5,72.00%,99.50%,8,36,3,2,2
4349 Sharrow Express,Convenience North,NORTH EAST,"£2,773",91,£27.44,£2.45,11.2,74,1.2,33.4,86.70%,96.90%,8,17,4,1,4
4353 Airdrie Express,Convenience North,WEST SCOTLAND,"£8,151",222,£33.62,£2.42,13.9,156,1.4,26.8,98.20%,98.60%,6,12,3,2,3
4355 Windmillhill Express,Convenience North,WEST SCOTLAND,"£5,664",150,£34.71,£2.70,12.9,120,1.3,37.4,92.70%,98.00%,7,18,5,3,4
4356 Chertsey Express,Convenience London,SOUTH EAST,"£10,217",323,£28.61,£2.63,10.9,236,1.4,23.8,99.70%,98.30%,6,10,3,2,2
4359 Bermondsey Spa Express,Convenience London,GREATER LONDON,"£5,905",168,£32.16,£2.60,12.4,120,1.4,30,94.80%,98.80%,7,13,5,2,3
4365 Haydock Vicarage Rd Express,Convenience North,NORTH WEST,"£10,493",314,£30.42,£2.58,11.8,207,1.5,39,88.10%,99.00%,9,21,3,2,4
4371 Ipswich Norwich Express,Convenience Central,EAST ANGLIA,"£9,109",265,£31.30,£2.59,12.1,190,1.4,26,98.50%,99.40%,8,11,3,2,2
4372 Blythe Bridge Uttoxeter Express,Convenience Central,MIDLANDS,"£5,277",173,£27.36,£2.92,9.4,129,1.3,22.7,99.40%,98.00%,6,8,3,2,3
4374 Ormeau Rd Belfast Express,NI Convenience,NORTHERN IRELAND,"£3,299",98,£30.49,£2.22,13.8,84,1.2,25.6,99.00%,98.60%,9,11,3,1,2
4376 Mitcham Streatham Rd Express,Convenience London,GREATER LONDON,"£5,090",167,£27.42,£2.38,11.5,129,1.3,27.2,95.20%,98.90%,8,14,3,1,2
4377 Abingdon Rd Express,Convenience Central,SOUTH CENTRAL,"£6,295",208,£27.11,£2.35,11.6,151,1.4,35.5,91.30%,98.40%,9,15,4,2,5
4380 Romsey Rd Southampton,Convenience South,SOUTH CENTRAL,"£12,600",389,£29.34,£2.57,11.4,247,1.6,24.6,99.00%,99.80%,8,10,3,1,2
4381 Ipswich Foxhall Express,Convenience Central,EAST ANGLIA,"£5,438",166,£29.61,£2.62,11.3,118,1.4,29.2,94.00%,98.30%,5,16,4,2,2
4382 St Ives Needingworth Express,Convenience Central,EAST ANGLIA,"£7,288",210,£31.66,£2.69,11.8,159,1.3,26.1,98.10%,99.70%,6,13,3,2,2
4392 Canterbury New Dover Express,Convenience South,SOUTH EAST,"£5,261",165,£28.72,£2.57,11.2,122,1.4,26,97.00%,98.50%,8,10,4,2,2
4393 Ladbroke Grove Express,Convenience London,GREATER LONDON,"£2,821",103,£24.33,£2.59,9.4,71,1.5,22.4,97.10%,97.70%,5,10,4,1,3
4396 Colchester Magdalen Express,Convenience Central,SOUTH EAST,"£13,637",418,£29.54,£2.63,11.2,290,1.4,26,98.60%,98.40%,7,9,4,2,4
4397 Stony Stratford Express,Convenience Central,SOUTH EAST,"£5,651",154,£33.67,£2.33,14.4,115,1.3,26.5,96.80%,100.00%,7,11,4,1,3
4407 South Parks Rd Express,Convenience North,EAST SCOTLAND,"£5,876",182,£29.09,£2.77,10.5,108,1.7,34.8,87.80%,99.10%,7,21,3,2,2
4413 Tuckton Rd Express,Convenience South,SOUTH CENTRAL,"£3,339",116,£25.53,£2.76,9.3,74,1.6,28.1,95.70%,99.30%,6,16,3,2,2
4415 Old Dumbarton Rd Express,Convenience North,WEST SCOTLAND,"£1,158",34,£31.14,£3.81,8.2,23,1.5,33.7,87.90%,96.80%,5,22,4,1,2
4417 Hatfield Rise Express,Convenience Central,SOUTH EAST,"£5,706",190,£26.85,£2.12,12.6,148,1.3,25.8,97.40%,97.90%,7,10,4,2,3
4428 Linwood Superstore,Large North,WEST SCOTLAND,"£8,175",193,£39.38,£2.52,15.6,141,1.4,54.6,64.60%,95.40%,9,21,14,3,8
4431 Reading Whitley St Express,Convenience South,SOUTH EAST,"£2,826",81,£31.87,£2.64,12.1,49,1.7,31.6,91.50%,99.40%,7,19,3,1,1
4436 Kilburn High Rd Express,Convenience London,GREATER LONDON,"£2,204",69,£28.81,£2.58,11.1,52,1.3,26.1,95.70%,97.40%,5,14,4,1,2
4447 Queensway Express,Convenience London,GREATER LONDON,"£1,915",55,£31.85,£2.68,11.9,45,1.2,30.3,94.50%,97.40%,6,12,5,2,5
4451 Liverpool Great Crosshall Express,Convenience North,NORTH WEST,"£1,682",54,£28.01,£2.76,10.1,36,1.5,36.3,88.90%,98.00%,8,21,4,1,3
4457 Canons Park Express,Convenience London,SOUTH EAST,"£1,510",54,£24.74,£2.60,9.5,36,1.5,24.9,94.40%,98.40%,4,12,4,2,3
4466 Farnborough Cove Rd Express,Convenience South,SOUTH CENTRAL,"£7,448",228,£29.65,£2.73,10.8,170,1.3,27.9,95.20%,99.40%,7,13,4,2,2
4469 Bath Weston Express,Convenience South,SOUTH CENTRAL,"£2,156",51,£39.45,£3.04,13,33,1.5,31,91.80%,98.80%,4,18,4,2,3
4470 Tingley Express,Convenience North,NORTH EAST,"£3,060",98,£28.16,£2.84,9.9,65,1.5,22,96.90%,98.40%,5,9,4,2,2
4472 Peterborough Oundle Rd Express,Convenience Central,EAST ANGLIA,"£5,587",163,£31.21,£2.58,12.1,119,1.4,19.1,100.00%,99.70%,5,6,3,2,2
4473 Coatbridge Express,Convenience North,WEST SCOTLAND,"£7,250",215,£30.61,£2.76,11.1,156,1.4,30.2,97.20%,98.80%,7,12,4,2,4
4474 Southwark The Cut Express,Convenience London,GREATER LONDON,£454,15,£27.31,£3.25,8.4,12,1.3,25.3,100.00%,98.90%,4,15,3,3,1
4476 Trymwood Express,Convenience South,SOUTH CENTRAL,"£2,226",68,£29.62,£3.48,8.5,39,1.7,30,98.60%,96.60%,7,16,3,2,3
4477 Dolphin Dominion Rd Express,Convenience South,SOUTH EAST,"£6,358",184,£31.50,£2.58,12.2,119,1.5,31.2,94.60%,99.30%,8,15,4,2,2
4485 Kendal Highgate Express,Convenience North,NORTH WEST,£858,30,£25.79,£3.28,7.9,20,1.5,53.3,57.10%,93.70%,6,38,4,2,3
4490 Molesey Rd Express,Convenience London,SOUTH EAST,"£6,676",194,£31.31,£2.61,12,146,1.3,26.7,99.50%,99.70%,6,13,3,2,2
4498 Hailsham South Rd Express,Convenience South,SOUTH EAST,"£11,277",351,£29.08,£2.66,10.9,249,1.4,41.4,84.90%,98.60%,7,23,5,2,4
4502 Ruxley Ln Express,Convenience London,SOUTH EAST,"£5,201",178,£26.30,£2.54,10.4,124,1.4,21.6,97.80%,98.80%,5,11,3,1,2
4503 London Rd Express,Convenience South,SOUTH EAST,"£5,362",173,£27.87,£2.42,11.5,122,1.4,21.1,100.00%,99.10%,6,7,3,3,1
4508 Hereford Buckingham Express,Convenience Central,MIDLANDS,"£1,908",63,£27.35,£2.42,11.3,48,1.3,44.2,77.80%,99.50%,6,32,3,2,3
4517 Sheffield Beighton Express,Convenience North,MIDLANDS,"£2,834",84,£30.66,£3.08,9.9,61,1.4,26,95.10%,98.40%,7,12,3,2,2
4521 Waterloo Rd Express,Convenience London,GREATER LONDON,£416,14,£26.41,£2.68,9.9,9,1.6,26.3,92.90%,100.00%,4,16,3,3,0
4540 Hillingdon Pield Rd Express,Convenience London,SOUTH EAST,"£7,291",246,£26.59,£2.69,9.9,178,1.4,17.7,100.00%,99.00%,6,5,4,2,2
4541 Spring Grove Express,Convenience London,SOUTH EAST,"£4,694",157,£26.69,£2.70,9.9,115,1.4,20.8,98.70%,96.60%,5,10,3,1,2
4558 Silverdale Rd Express,Convenience South,SOUTH EAST,"£2,825",78,£33.18,£2.66,12.5,59,1.3,24.4,98.70%,99.10%,7,11,4,1,1
4560 Greetland Express,Convenience North,NORTH EAST,"£3,498",114,£27.52,£2.70,10.2,74,1.5,20,100.00%,98.70%,5,8,3,2,2
4561 Barrack Rd Express,Convenience North,NORTH EAST,"£1,616",54,£27.31,£2.46,11.1,44,1.2,45.7,72.00%,99.10%,9,29,4,1,2
4563 Putney Upper Richmond Rd Express,Convenience London,GREATER LONDON,"£3,748",113,£30.05,£2.69,11.2,80,1.4,24,99.10%,99.40%,5,12,3,1,2
4564 Bromley Plaistow Ln Express,Convenience London,GREATER LONDON,"£5,118",160,£28.96,£2.73,10.6,113,1.4,24.3,98.10%,99.20%,5,12,4,1,2
4573 Hemel Fletcher Way Express,Convenience Central,SOUTH EAST,"£5,787",195,£26.49,£2.60,10.2,136,1.4,20.1,99.00%,99.30%,5,6,4,3,3
4577 Archway Holloway Rd Express,Convenience London,GREATER LONDON,"£2,543",86,£26.60,£2.84,9.4,60,1.4,25.8,96.50%,97.90%,4,15,3,1,2
4611 Portsmouth Brunel Rd Express,Convenience South,SOUTH CENTRAL,"£2,536",77,£29.87,£3.21,9.3,60,1.3,22.3,98.70%,100.00%,5,8,3,4,2
4612 Newton Rd Express,Convenience South,WALES,"£1,934",57,£30.94,£2.80,11.1,43,1.3,56,70.20%,99.30%,6,40,4,3,3
4614 Cavalier Way Express,Convenience South,SOUTH CENTRAL,"£4,867",149,£29.60,£2.69,11,98,1.5,41.6,78.50%,97.30%,5,27,4,2,4
4615 Basingstoke Oakridge Rd Express,Convenience South,SOUTH CENTRAL,"£10,410",314,£30.06,£2.58,11.7,202,1.6,40.8,82.40%,99.20%,7,23,4,2,5
4616 Haywards Heath Walnut Park Express,Convenience South,SOUTH EAST,"£2,757",94,£26.23,£2.53,10.4,63,1.5,34.2,89.40%,99.50%,4,23,3,2,2
4618 Bristol Hatchet Rd,Convenience South,SOUTH CENTRAL,"£4,423",147,£26.85,£2.43,11,97,1.5,27.1,96.70%,98.60%,7,13,3,1,2
4619 Hastings Little Ridge Express,Convenience South,SOUTH EAST,"£6,498",220,£26.42,£2.43,10.9,160,1.4,36,93.70%,98.80%,7,20,4,2,3
4622 Sandhurst Yorktown Express,Convenience South,SOUTH CENTRAL,"£6,544",178,£33.72,£2.61,12.9,146,1.2,35.4,87.70%,99.10%,8,20,4,1,3
4624 Sheffield Crosspool Express,Convenience North,NORTH EAST,"£1,908",53,£32.95,£2.63,12.5,42,1.3,31.7,94.30%,96.90%,6,15,4,3,4
4625 Plymouth Alex Rd Express,Convenience South,SOUTH WEST,"£4,990",160,£28.18,£2.61,10.8,112,1.4,30.6,94.30%,100.00%,5,19,3,1,3
4634 London Borough High Street Express,Convenience London,GREATER LONDON,£399,11,£33.10,£3.31,10,8,1.4,29.8,90.90%,97.40%,5,17,4,3,1
4642 Salisbury Wilton Express,Convenience South,SOUTH CENTRAL,"£10,980",353,£28.09,£2.56,11,268,1.3,40.4,83.70%,97.00%,7,23,4,2,4
4647 Whyteleafe Express,Convenience London,SOUTH EAST,"£12,643",404,£28.19,£2.64,10.7,305,1.3,28.2,97.30%,98.80%,7,13,3,2,3
4659 Haymarket Tower Express,Convenience Central,MIDLANDS,£102,3,£31.07,£2.27,13.7,2,1.5,29.3,100.00%,94.10%,5,13,6,2,4
4672 Market Place Hull Express,Convenience North,NORTH EAST,"£2,317",75,£27.85,£2.60,10.7,48,1.6,31.3,89.30%,99.40%,9,16,3,2,2
4673 Swansea Mariner Street Express,Convenience South,WALES,"£2,810",89,£28.63,£2.73,10.5,71,1.3,31,91.10%,98.60%,7,15,3,1,4
4675 Chell Street Hanley Express,Convenience Central,MIDLANDS,"£10,277",298,£31.44,£2.50,12.6,213,1.4,26.5,98.30%,99.30%,8,12,3,1,2
4676 Martletts Crawley Express,Convenience South,SOUTH EAST,"£4,040",144,£24.89,£2.32,10.7,123,1.2,26.1,96.50%,99.30%,9,11,3,1,2
4677 Crossways Slough Express,Convenience South,SOUTH EAST,"£6,000",187,£28.96,£2.47,11.7,140,1.3,22.7,100.00%,99.50%,6,7,4,3,2
4688 Park Lane Tottenham Exp,Convenience London,GREATER LONDON,"£1,615",58,£24.84,£2.32,10.7,47,1.2,24.6,100.00%,99.50%,5,11,3,1,3
4690 Staines High Street Express,Convenience London,SOUTH EAST,"£6,241",203,£27.65,£2.48,11.2,165,1.2,27.5,99.00%,97.70%,9,11,3,2,2
4693 New Road Chingford,Convenience London,GREATER LONDON,"£6,716",209,£29.00,£2.81,10.3,145,1.4,24.9,95.70%,98.70%,6,13,3,1,2
4694 Dumont Express,Convenience London,GREATER LONDON,"£1,029",36,£25.61,£2.24,11.4,28,1.3,31,91.40%,98.50%,6,16,5,2,3
4695 Prince of Wales Drive Express,Convenience London,GREATER LONDON,£573,22,£22.92,£2.52,9.1,19,1.2,48,81.80%,91.80%,12,24,5,3,4
4698 Lowestoft Express,Convenience Central,EAST ANGLIA,"£6,173",203,£27.21,£2.43,11.2,146,1.4,29.2,95.10%,99.00%,7,15,3,2,2
4757 Beaumont Road Express,Convenience London,GREATER LONDON,"£2,388",91,£23.01,£3.04,7.6,57,1.6,28,93.40%,99.80%,5,18,2,1,2
4760 Guildford Railton Road Express,Convenience South,SOUTH EAST,"£8,183",235,£31.70,£2.75,11.5,172,1.4,29.1,96.60%,100.00%,7,15,3,2,3
